,ACHC
Price/Earnings (TTM),27.97674
Price/Sales (TTM),3.10861
Price/Book (MRQ),2.83017
Price/Cash Flow (TTM),19.43707
5yr Low,11.09
5yr High,88.17
5yr Avg Return,0.2160166666666667
EPS Growth 5yr,0.9916201
Revenue Growth 5yr,-0.0381265
Dividend Growth 5yr,
Short Int Current Month,3712752.0
Short Int Prev Month,4167559.0
Short Int Pct of Float,0.041424899999999994
Days to Cover,5.21509
Float,89.56567
Shares Outstanding,90.97671
Institutions Holding Shares,439.0
% Held by Institutions,1.033495
FCF Growth 5yr,0.4779854265257531
