,ACHC
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.196078431372549
Growth 1yr High Est,0.16541353383458635
Growth 1yr Consensus Est,0.18074598260356767
Growth 2yr Low Est,0.12262937962070075
Growth 2yr High Est,0.153674508852777
Growth 2yr Consensus Est,0.13815194423673888
Growth 5yr Low Est,0.13328438678004734
Growth 5yr High Est,0.1512274983288276
Growth 5yr Consensus Est,0.14225594255443746
Growth 5yr Actual/Est,0.14269376003197248
Growth 3yr Historic,0.07090210184793339
