,ACHC
% Below High,0.020099999999999996
% Held by Institutions,1.0334999999999999
52-Wk Range,['50.07 - 88.17']
Annual Dividend $,
Annual Dividend %,
Ask,86.94
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,85.86
Bid Size,100.0
Closing Price,86.4
Day Change $,-0.16
Day Change %,-0.0018
Day High,87.29
Day Low,86.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.09
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),533.0
Last (time),1:00p ET 11/25/22
Market Cap,7.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.98
Prev Close,86.56
Shares Outstanding,91.0M
Short Interest,0.0414
Today's Open,86.97
Volume,224109.0
Volume 10-day Avg,595807.0
Volume Past Day,(Light)
