,FLIC
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.14444444444444438
Growth 1yr High Est,0.1567567567567567
Growth 1yr Consensus Est,0.15060060060060054
Growth 2yr Low Est,-0.012729234088457442
Growth 2yr High Est,0.09239706996716346
Growth 2yr Consensus Est,0.03983391793935301
Growth 5yr Low Est,0.008013096154924598
Growth 5yr High Est,0.06210279383681405
Growth 5yr Consensus Est,0.035057944995869325
Growth 5yr Actual/Est,0.04213902018540147
Growth 3yr Historic,0.03074084389360815
