,FLIC
Price/Earnings (TTM),9.78879
Price/Sales (TTM),3.43103
Price/Book (MRQ),1.2228
Price/Cash Flow (TTM),8.73457
5yr Low,12.16
5yr High,31.53
5yr Avg Return,-0.04200000000000001
EPS Growth 5yr,0.0629882
Revenue Growth 5yr,0.0338148
Dividend Growth 5yr,0.0735429
Short Int Current Month,144332.0
Short Int Prev Month,191531.0
Short Int Pct of Float,0.0066748
Days to Cover,1.66187
Float,21.63048
Shares Outstanding,22.65858
Institutions Holding Shares,159.0
% Held by Institutions,0.575095
FCF Growth 5yr,0.4201264433760647
