,FLIC
% Above Low,0.1757
% Held by Institutions,0.5751
52-Wk Range,['16.51 - 22.95']
Annual Dividend $,0.84
Annual Dividend %,0.0433
Ask,20.14
Ask Size,300.0
B/A Ratio,3.3333333333333335
B/A Size,1000x300
Beta,0.5
Bid,18.1
Bid Size,1000.0
Closing Price,19.41
Day Change $,0.57
Day Change %,0.030299999999999997
Day High,19.52
Day Low,18.92
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",1.98
Ex-dividend,2022-10-11 00:00:00
Ex-dividend Date,10/11/22
Historical Volatility,0.268
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,439.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.79
Prev Close,18.84
Shares Outstanding,22.7M
Short Interest,0.0067
Today's Open,18.93
Volume,34262.0
Volume 10-day Avg,71981.0
Volume Past Day,(Light)
