,HUMA
Price/Earnings (TTM),9.59646
Price/Sales (TTM),187.6496
Price/Book (MRQ),2.754
Price/Cash Flow (TTM),7.69468
5yr Low,2.78
5yr High,17.45
5yr Avg Return,-0.26713333333333333
Short Int Current Month,4601563.0
Short Int Prev Month,5699937.0
Short Int Pct of Float,0.0864821
Days to Cover,12.92458
Float,53.37294
Shares Outstanding,103.1185
Institutions Holding Shares,103.0
% Held by Institutions,0.120676
FCF Growth 5yr,0.19924087407685612
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
