,TDOC
Price/Earnings (TTM),
Price/Sales (TTM),1.92358
Price/Book (MRQ),0.73961
Price/Cash Flow (TTM),
5yr Low,23.08
5yr High,308.0
5yr Avg Return,0.20940000000000006
EPS Growth 5yr,
Revenue Growth 5yr,0.7519558000000001
Dividend Growth 5yr,
Short Int Current Month,30182610.0
Short Int Prev Month,31465677.0
Short Int Pct of Float,0.18846090000000001
Days to Cover,6.29975
Float,160.1862
Shares Outstanding,161.9271
Institutions Holding Shares,752.0
% Held by Institutions,0.797535
FCF Growth 5yr,-1.1932844932844933
