,TDOC
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,40.6554054054054
Growth 1yr High Est,0.1357142857142859
Growth 1yr Consensus Est,20.395559845559845
Growth 2yr Low Est,19.84643749589005
Growth 2yr High Est,-0.17113656783468095
Growth 2yr Consensus Est,9.837650464027686
Growth 5yr Low Est,9.923218747945025
Growth 5yr High Est,-0.08556828391734048
Growth 5yr Consensus Est,4.918825232013842
Growth 5yr Actual/Est,5.478022717350095
Growth 3yr Historic,0.598346582305862
