,TDOC
% Above Low,0.1486
% Held by Institutions,0.7975
52-Wk Range,['23.08 - 108.67']
Annual Dividend $,
Annual Dividend %,
Ask,26.59
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.9
Bid,26.45
Bid Size,100.0
Change Since Close,-0.0585| |(-0.22%)
Closing Price,26.51
Day Change $,-1.09
Day Change %,-0.0395
Day High,27.55
Day Low,26.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-61.32
Ex-dividend Date,No dividend
Historical Volatility,0.932
Last (size),200.0
Last (time),3:59p ET 11/28/22
Last Trade,26.45
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,27.6
Shares Outstanding,161.9M
Short Interest,0.1885
Today's Open,27.3
Volume,3924441.0
Volume 10-day Avg,3876293.0
Volume Past Day,(Average)
