,ADEAV
% Below High,0.13419999999999999
% Held by Institutions,0.9342
52-Wk Range,['3.54 - 11.85']
Annual Dividend $,0.2
Annual Dividend %,0.0195
Ask,12.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,9.0
Bid Size,100.0
Closing Price,10.26
Day Change $,-0.01
Day Change %,-0.001
Day High,10.34
Day Low,10.15
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",-3.65
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,5.267
Last (size),49.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.27
Shares Outstanding,105.1M
Short Interest,0.024
Today's Open,10.22
Volume,157177.0
Volume 10-day Avg,503374.0
Volume Past Day,(Light)
