,ADEAV
Price/Earnings (TTM),
Price/Sales (TTM),1.17569
Price/Book (MRQ),1.08617
Price/Cash Flow (TTM),
5yr Low,6.52
5yr High,28.33
5yr Avg Return,-0.07098333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.2759087
Dividend Growth 5yr,-0.2421417
Short Int Current Month,2449181.0
Short Int Prev Month,3402012.0
Short Int Pct of Float,0.023982999999999997
Days to Cover,3.59616
Float,102.4937
Shares Outstanding,105.0591
Institutions Holding Shares,284.0
% Held by Institutions,0.9342149999999999
FCF Growth 5yr,0.2370738881339883
