,CALM
% Below High,0.0765
% Held by Institutions,0.9216
52-Wk Range,['35.10 - 62.64']
Annual Dividend $,1.73
Annual Dividend %,0.029900000000000003
Ask,59.03
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,-0.1
Bid,53.52
Bid Size,300.0
Closing Price,57.85
Day Change $,0.97
Day Change %,0.0171
Day High,57.85
Day Low,56.58
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",5.7
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.34
Last (size),18.0
Last (time),12:59p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.16
Prev Close,56.88
Shares Outstanding,48.9M
Short Interest,0.1721
Today's Open,56.88
Volume,213751.0
Volume 10-day Avg,756124.0
Volume Past Day,(Light)
