,CALM
Price/Earnings (TTM),10.15563
Price/Sales (TTM),1.20978
Price/Book (MRQ),2.38231
Price/Cash Flow (TTM),7.42401
5yr Low,30.74
5yr High,62.64
5yr Avg Return,0.05508333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1058671
Dividend Growth 5yr,
Short Int Current Month,6496868.0
Short Int Prev Month,6568837.0
Short Int Pct of Float,0.17213740000000002
Days to Cover,7.7564
Float,32.94234
Shares Outstanding,44.13585
Institutions Holding Shares,375.0
% Held by Institutions,0.921558
FCF Growth 5yr,-0.5195584307685889
