,BEAM
Price/Earnings (TTM),
Price/Sales (TTM),33.93472
Price/Book (MRQ),4.36664
Price/Cash Flow (TTM),
5yr Low,13.0
5yr High,138.52
5yr Avg Return,0.6443333333333334
Short Int Current Month,13013244.0
Short Int Prev Month,13100529.0
Short Int Pct of Float,0.1881537
Days to Cover,12.06999
Float,69.16283
Shares Outstanding,70.46896
Institutions Holding Shares,301.0
% Held by Institutions,0.8555459999999999
FCF Growth 5yr,-1.281901587973149
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
