,BEAM
% Above Low,0.5945
% Held by Institutions,0.8554999999999999
52-Wk Range,['27.77 - 88.18']
Annual Dividend $,
Annual Dividend %,
Ask,44.63
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,44.02
Bid Size,100.0
Closing Price,44.28
Day Change $,-1.42
Day Change %,-0.0311
Day High,45.53
Day Low,44.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.54
Ex-dividend Date,No dividend
Historical Volatility,0.91
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,45.7
Shares Outstanding,70.5M
Short Interest,0.1882
Today's Open,45.03
Volume,206841.0
Volume 10-day Avg,782274.0
Volume Past Day,(Light)
