,KDP
Price/Earnings (TTM),29.96756
Price/Sales (TTM),3.97007
Price/Book (MRQ),2.15806
Price/Cash Flow (TTM),22.92493
5yr Low,18.98
5yr High,126.65
5yr Avg Return,-0.03020000000000002
EPS Growth 5yr,-0.1976653
Revenue Growth 5yr,0.1451628
Dividend Growth 5yr,-0.1959375
Short Int Current Month,18424666.0
Short Int Prev Month,20380881.0
Short Int Pct of Float,0.0209707
Days to Cover,2.0935
Float,885.7806
Shares Outstanding,1416.251
Institutions Holding Shares,929.0
% Held by Institutions,0.533028
FCF Growth 5yr,0.30580510985909326
