,KDP
% Below High,0.0741
% Held by Institutions,0.5329999999999999
52-Wk Range,['33.35 - 41.31']
Annual Dividend $,0.8
Annual Dividend %,0.0209
Ask,38.43
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,38.07
Bid Size,100.0
Closing Price,38.25
Day Change $,-0.07
Day Change %,-0.0018
Day High,38.41
Day Low,38.12
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",1.28
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.214
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,54.2B
"P/E Ratio (TTM, GAAP)",29.97
Prev Close,38.32
Shares Outstanding,1.4B
Short Interest,0.021
Today's Open,38.25
Volume,3574330.0
Volume 10-day Avg,7434248.0
Volume Past Day,(Light)
