,DNA
% Above Low,0.0258
% Held by Institutions,0.8776
52-Wk Range,['1.94 - 12.48']
Annual Dividend $,
Annual Dividend %,
Ask,2.0
Ask Size,1800.0
B/A Ratio,0.3333333333333333
B/A Size,600x1800
Beta,
Bid,1.98
Bid Size,600.0
Closing Price,1.99
Day Change $,0.01
Day Change %,0.0051
Day High,2.01
Day Low,1.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.23
Ex-dividend Date,No dividend
Historical Volatility,1.0590000000000002
Last (size),2000.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,1.98
Shares Outstanding,1.9B
Short Interest,0.13140000000000002
Today's Open,1.98
Volume,9688797.0
Volume 10-day Avg,30812268.0
Volume Past Day,(Light)
