,DNA
Price/Earnings (TTM),
Price/Sales (TTM),5.76676
Price/Book (MRQ),2.28617
Price/Cash Flow (TTM),
5yr Low,1.94
5yr High,15.86
5yr Avg Return,-0.48995000000000005
Short Int Current Month,124380963.0
Short Int Prev Month,134218311.0
Short Int Pct of Float,0.1314109
Days to Cover,5.07608
Float,573.6418
Shares Outstanding,1529.828
Institutions Holding Shares,328.0
% Held by Institutions,0.877649
FCF Growth 5yr,1.2984507453960832
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
