,CDE
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-3.111111111111111
Growth 1yr High Est,-1.870967741935484
Growth 1yr Consensus Est,-2.4910394265232974
Growth 2yr Low Est,-1.726608187134503
Growth 2yr High Est,-1.6391875746714457
Growth 2yr Consensus Est,-1.6828978809029742
Growth 5yr Low Est,-1.2633040935672515
Growth 5yr High Est,-1.4065503090748532
Growth 5yr Consensus Est,-1.3349272013210522
Growth 5yr Actual/Est,6.547970430107528
Growth 3yr Historic,-0.7504166666666667
