,CDE
% Above Low,0.3386
% Held by Institutions,0.7292000000000001
52-Wk Range,['2.54 - 6.01']
Annual Dividend $,
Annual Dividend %,
Ask,3.6
Ask Size,200.0
B/A Ratio,10.0
B/A Size,2000x200
Beta,1.5
Bid,3.36
Bid Size,2000.0
Closing Price,3.4
Day Change $,-0.01
Day Change %,-0.0029
Day High,3.43
Day Low,3.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.5
Ex-dividend Date,No dividend
Historical Volatility,0.752
Last (size),75.0
Last (time),5:00p ET 11/25/22
Market Cap,950.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,3.41
Shares Outstanding,280.9M
Short Interest,0.0559
Today's Open,3.41
Volume,1786827.0
Volume 10-day Avg,5999117.0
Volume Past Day,(Light)
