,CDE
Price/Earnings (TTM),
Price/Sales (TTM),1.21928
Price/Book (MRQ),1.16219
Price/Cash Flow (TTM),
5yr Low,1.98
5yr High,12.6
5yr Avg Return,-0.037000000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.0780713
Dividend Growth 5yr,
Short Int Current Month,15453619.0
Short Int Prev Month,15071764.0
Short Int Pct of Float,0.0559026
Days to Cover,2.4356
Float,276.6044
Shares Outstanding,280.9389
Institutions Holding Shares,261.0
% Held by Institutions,0.7291989999999999
FCF Growth 5yr,0.32047831929960335
