,ITGR
Price/Earnings (TTM),35.15349
Price/Sales (TTM),1.81219
Price/Book (MRQ),1.76087
Price/Cash Flow (TTM),15.12139
5yr Low,42.5
5yr High,101.61
5yr Avg Return,0.0933
EPS Growth 5yr,0.2834209
Revenue Growth 5yr,0.0257145
Dividend Growth 5yr,
Short Int Current Month,723930.0
Short Int Prev Month,736538.0
Short Int Pct of Float,0.0221718
Days to Cover,3.70319
Float,32.70147
Shares Outstanding,33.13099
Institutions Holding Shares,294.0
% Held by Institutions,1.005639
FCF Growth 5yr,0.18317193311493007
