,ITGR
% Below High,0.1869
% Held by Institutions,1.0056
52-Wk Range,['50.05 - 88.58']
Annual Dividend $,
Annual Dividend %,
Ask,115.61
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,72.02
Day Change $,0.59
Day Change %,0.0083
Day High,72.45
Day Low,71.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.05
Ex-dividend Date,No dividend
Historical Volatility,0.385
Last (size),271.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.15
Prev Close,71.43
Shares Outstanding,33.1M
Short Interest,0.0222
Today's Open,71.64
Volume,85802.0
Volume 10-day Avg,181746.0
Volume Past Day,(Light)
