,ITGR
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.033333333333333326
Growth 1yr High Est,-0.05432098765432092
Growth 1yr Consensus Est,-0.04382716049382712
Growth 2yr Low Est,0.050972590627763104
Growth 2yr High Est,0.03680817458015029
Growth 2yr Consensus Est,0.043890382603956696
Growth 5yr Low Est,-0.011631608616249456
Growth 5yr High Est,-0.012440068554080724
Growth 5yr Consensus Est,-0.01203583858516509
Growth 5yr Actual/Est,0.03193900649850062
Growth 3yr Historic,0.01620113240149343
