,EBC
Price/Earnings (TTM),16.7994
Price/Sales (TTM),4.72356
Price/Book (MRQ),1.41855
Price/Cash Flow (TTM),16.3673
5yr Low,11.74
5yr High,23.03
5yr Avg Return,0.17103333333333334
Short Int Current Month,2422389.0
Short Int Prev Month,2985772.0
Short Int Pct of Float,0.0138806
Days to Cover,2.9788
Float,174.5134
Shares Outstanding,176.6785
Institutions Holding Shares,275.0
% Held by Institutions,0.641963
FCF Growth 5yr,0.41216621542708504
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
