,RMR
Price/Earnings (TTM),14.06759
Price/Sales (TTM),1.08959
Price/Book (MRQ),4.39014
Price/Cash Flow (TTM),11.56096
5yr Low,21.79
5yr High,98.0
5yr Avg Return,-0.11056666666666666
EPS Growth 5yr,-0.0491596
Revenue Growth 5yr,0.2509798
Dividend Growth 5yr,0.0958003
Short Int Current Month,263816.0
Short Int Prev Month,313017.0
Short Int Pct of Float,0.0173204
Days to Cover,2.33797
Float,15.23154
Shares Outstanding,31.60574
Institutions Holding Shares,241.0
% Held by Institutions,0.828528
FCF Growth 5yr,0.44781961485948174
