,RMR
% Above Low,0.2443
% Held by Institutions,0.8284999999999999
52-Wk Range,['23.00 - 36.45']
Annual Dividend $,1.6
Annual Dividend %,0.0557
Ask,28.63
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,28.55
Bid Size,100.0
Day Change $,-0.08
Day Change %,-0.0028000000000000004
Day High,28.75
Day Low,28.52
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",2.04
Ex-dividend,2022-10-21 00:00:00
Ex-dividend Date,10/21/22
Historical Volatility,0.278
Last (size),100.0
Last (time),12:54p ET 11/28/22
Market Cap,475.3M
"P/E Ratio (TTM, GAAP)",14.07
Prev Close,28.7
Price,28.62
Shares Outstanding,16.6M
Short Interest,0.0173
Today's Open,28.63
Volume Past Day,(Light)
