,NRGV
% Above Low,0.7679
% Held by Institutions,0.40509999999999996
52-Wk Range,['2.80 - 22.10']
Annual Dividend $,
Annual Dividend %,
Ask,5.2
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,4.71
Bid Size,200.0
Change Since Close,-0.05| |(-1.01%)
Closing Price,4.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.49
Ex-dividend Date,No dividend
Historical Volatility,1.104
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,4.9
Market Cap,684.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.95
Shares Outstanding,138.3M
Short Interest,0.030299999999999997
Today's Open,
Volume,152.0
Volume 10-day Avg,960349.0
Volume Past Day,(Light)
