,NRGV
Price/Earnings (TTM),
Price/Sales (TTM),15.02422
Price/Book (MRQ),2.272
Price/Cash Flow (TTM),
5yr Low,2.8
5yr High,22.1
5yr Avg Return,-0.23829999999999998
Short Int Current Month,3318023.0
Short Int Prev Month,3485742.0
Short Int Pct of Float,0.0303042
Days to Cover,3.92515
Float,109.4904
Shares Outstanding,138.2683
Institutions Holding Shares,114.0
% Held by Institutions,0.405055
FCF Growth 5yr,0.3840157322576195
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
