,MTG
Price/Earnings (TTM),5.07334
Price/Sales (TTM),3.4364
Price/Book (MRQ),0.89644
Price/Cash Flow (TTM),4.45116
5yr Low,4.34
5yr High,16.85
5yr Avg Return,0.00418333333333333
EPS Growth 5yr,0.1657431
Revenue Growth 5yr,0.0221832
Dividend Growth 5yr,
Short Int Current Month,24733287.0
Short Int Prev Month,28669248.0
Short Int Pct of Float,0.0846895
Days to Cover,6.32521
Float,292.3009
Shares Outstanding,297.0255
Institutions Holding Shares,462.0
% Held by Institutions,0.942542
FCF Growth 5yr,0.08427555155675133
