,MTG
% Above Low,0.19469999999999998
% Held by Institutions,0.9425
52-Wk Range,['11.38 - 16.85']
Annual Dividend $,0.4
Annual Dividend %,0.0294
Ask,13.52
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,
Bid Size,
Closing Price,13.59
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",2.68
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.317
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,4.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.07
Prev Close,13.59
Shares Outstanding,297.0M
Short Interest,0.08470000000000001
Today's Open,
Volume,508337.0
Volume 10-day Avg,3041222.0
Volume Past Day,(Light)
