,BOX
Price/Earnings (TTM),
Price/Sales (TTM),4.24459
Price/Book (MRQ),
Price/Cash Flow (TTM),74.55206
5yr Low,8.64
5yr High,33.04
5yr Avg Return,0.053500000000000006
EPS Growth 5yr,
Revenue Growth 5yr,0.1701101
Dividend Growth 5yr,
Short Int Current Month,6401191.0
Short Int Prev Month,7011609.0
Short Int Pct of Float,0.0466418
Days to Cover,6.83464
Float,137.3777
Shares Outstanding,142.3204
Institutions Holding Shares,420.0
% Held by Institutions,0.896135
FCF Growth 5yr,-0.00935813973085046
