,BOX
% Below High,0.14980000000000002
% Held by Institutions,0.8961
52-Wk Range,['22.31 - 33.04']
Annual Dividend $,
Annual Dividend %,
Ask,33.94
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.2
Bid,24.05
Bid Size,1000.0
Closing Price,28.09
Day Change $,-0.04
Day Change %,-0.0014000000000000002
Day High,28.36
Day Low,27.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.26
Ex-dividend Date,No dividend
Historical Volatility,0.378
Last (size),66.0
Last (time),5:00p ET 11/25/22
Market Cap,4.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,28.13
Shares Outstanding,142.3M
Short Interest,0.0466
Today's Open,28.05
Volume,291910.0
Volume 10-day Avg,823528.0
Volume Past Day,(Light)
