,LBAI
% Below High,0.0894
% Held by Institutions,0.5696
52-Wk Range,['13.91 - 20.69']
Annual Dividend $,0.58
Annual Dividend %,0.0308
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,18.84
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",1.55
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.261
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.14
Prev Close,18.84
Shares Outstanding,64.8M
Short Interest,0.0265
Today's Open,
Volume,39067.0
Volume 10-day Avg,205906.0
Volume Past Day,(Light)
