,LBAI
Price/Earnings (TTM),12.14223
Price/Sales (TTM),3.85245
Price/Book (MRQ),1.12796
Price/Cash Flow (TTM),11.83542
5yr Low,8.31
5yr High,21.9
5yr Avg Return,0.01210000000000001
EPS Growth 5yr,0.1411646
Revenue Growth 5yr,0.0952138
Dividend Growth 5yr,0.0745208
Short Int Current Month,1621427.0
Short Int Prev Month,2105480.0
Short Int Pct of Float,0.026469299999999998
Days to Cover,5.85945
Float,61.39729
Shares Outstanding,64.80958
Institutions Holding Shares,234.0
% Held by Institutions,0.569557
FCF Growth 5yr,0.36040013227513223
