,CHRD
% Below High,0.16570000000000001
% Held by Institutions,0.9340999999999999
52-Wk Range,['93.35 - 181.34']
Annual Dividend $,5.0
Annual Dividend %,0.033
Ask,165.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,142.33
Bid Size,100.0
Closing Price,151.3
Day Change $,0.17
Day Change %,0.0011
Day High,154.26
Day Low,150.65
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",34.89
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.539
Last (size),100.0
Last (time),12:59p ET 11/25/22
Market Cap,6.3B
"P/E Ratio (TTM, GAAP)",4.34
Prev Close,151.13
Shares Outstanding,41.6M
Short Interest,0.0466
Today's Open,152.81
Volume,101309.0
Volume 10-day Avg,398405.0
Volume Past Day,(Light)
