,CHRD
Price/Earnings (TTM),4.33695
Price/Sales (TTM),2.01782
Price/Book (MRQ),1.4063
Price/Cash Flow (TTM),4.27333
5yr Low,20.0
5yr High,181.34
5yr Avg Return,0.9711333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.1752515
Dividend Growth 5yr,
Short Int Current Month,1832027.0
Short Int Prev Month,2100871.0
Short Int Pct of Float,0.046581700000000004
Days to Cover,3.86785
Float,39.33979
Shares Outstanding,41.6062
Institutions Holding Shares,404.0
% Held by Institutions,0.934072
FCF Growth 5yr,1.188689000144145
