,RETA
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.03883495145631066
Growth 1yr High Est,0.04574332909783996
Growth 1yr Consensus Est,0.04228914027707531
Growth 2yr Low Est,0.12338943834497773
Growth 2yr High Est,-0.10471035246201565
Growth 2yr Consensus Est,0.009339542941481038
Growth 5yr Low Est,0.12338943834497773
Growth 5yr High Est,-0.10471035246201565
Growth 5yr Consensus Est,0.009339542941481038
Growth 5yr Actual/Est,-0.02150847149893656
Growth 3yr Historic,-0.028818508535489645
