,RETA
% Above Low,1.0644
% Held by Institutions,0.8659
52-Wk Range,['18.47 - 95.34']
Annual Dividend $,
Annual Dividend %,
Ask,38.19
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,38.07
Bid Size,100.0
Day Change $,2.1
Day Change %,0.0583
Day High,39.8
Day Low,36.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.55
Ex-dividend Date,No dividend
Historical Volatility,1.2650000000000001
Last (size),30.0
Last (time),12:34p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,36.03
Price,38.13
Shares Outstanding,36.6M
Short Interest,0.23879999999999998
Today's Open,36.99
Volume Past Day,(Average)
