,RETA
Price/Earnings (TTM),
Price/Sales (TTM),419.2667
Price/Book (MRQ),292.1542
Price/Cash Flow (TTM),
5yr Low,18.47
5yr High,257.97
5yr Avg Return,0.5062666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.2543749
Dividend Growth 5yr,
Short Int Current Month,7294363.0
Short Int Prev Month,6632557.0
Short Int Pct of Float,0.2388307
Days to Cover,8.35503
Float,30.56541
Shares Outstanding,36.64366
Institutions Holding Shares,206.0
% Held by Institutions,0.865856
FCF Growth 5yr,0.18951672993576094
