,OWL
% Above Low,0.4351
% Held by Institutions,0.9223
52-Wk Range,['8.06 - 16.95']
Annual Dividend $,0.48
Annual Dividend %,0.040999999999999995
Ask,11.54
Ask Size,700.0
B/A Ratio,0.8571428571428571
B/A Size,600x700
Beta,
Bid,11.54
Bid Size,600.0
Day Change $,-0.15
Day Change %,-0.0128
Day High,11.61
Day Low,11.46
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",-0.03
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.499
Last (size),1.0
Last (time),9:52a ET 11/28/22
Market Cap,5.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.71
Price,11.56
Shares Outstanding,438.6M
Short Interest,0.0493
Today's Open,11.53
Volume Past Day,(Light)
