,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2021,Neutral,0.32,,,0.31,,0.35,,0.32999999999999996,0.32,,
Year ending 12/2022,Neutral,,0.53,0.0,0.52,0.6774193548387097,0.53,0.5142857142857145,0.53,0.53,0.65625,0.5958525345622121
Year ending 12/2023,Neutral,,0.69,0.0,0.63,0.21153846153846145,0.75,0.4150943396226414,0.69,0.69,0.3018867924528301,0.31331640058055144
