,QRTEA
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8176795580110497
Growth 1yr High Est,-0.775
Growth 1yr Consensus Est,-0.7963397790055249
Growth 2yr Low Est,-0.5452034153691613
Growth 2yr High Est,-0.10972222222222233
Growth 2yr Consensus Est,-0.32746281879569183
Growth 5yr Low Est,-0.27260170768458064
Growth 5yr High Est,-0.054861111111111166
Growth 5yr Consensus Est,-0.16373140939784592
Growth 5yr Actual/Est,-0.05912298701970378
Growth 3yr Historic,0.03195452891330344
