,QRTEA
% Above Low,0.4233
% Held by Institutions,0.8397
52-Wk Range,['1.50 - 8.56']
Annual Dividend $,
Annual Dividend %,
Ask,2.14
Ask Size,4500.0
B/A Ratio,1.9333333333333333
B/A Size,8700x4500
Beta,1.7
Bid,2.13
Bid Size,8700.0
Day Change $,-0.135
Day Change %,-0.059500000000000004
Day High,2.31
Day Low,2.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.23
Ex-dividend Date,No dividend
Historical Volatility,0.818
Last (size),102.0
Last (time),12:07p ET 11/28/22
Market Cap,817.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.27
Price,2.14
Shares Outstanding,382.2M
Short Interest,0.0452
Today's Open,2.27
Volume Past Day,(Light)
