,TMO
Price/Earnings (TTM),30.9829
Price/Sales (TTM),4.89501
Price/Book (MRQ),4.96447
Price/Cash Flow (TTM),20.77028
5yr Low,181.51
5yr High,672.34
5yr Avg Return,0.21388333333333331
EPS Growth 5yr,0.3072819
Revenue Growth 5yr,0.164969
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,2975064.0
Short Int Prev Month,2919334.0
Short Int Pct of Float,0.0076041
Days to Cover,1.73017
Float,391.2564
Shares Outstanding,392.1956
Institutions Holding Shares,3043.0
% Held by Institutions,0.883038
FCF Growth 5yr,0.14076437888524337
