,TMO
% Above Low,0.1351
% Held by Institutions,0.883
52-Wk Range,['475.77 - 672.34']
Annual Dividend $,1.2
Annual Dividend %,0.0022
Ask,547.55
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,525.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,540.03
Day Change $,-11.22
Day Change %,-0.0204
Day High,550.0
Day Low,538.16
Dividend Pay Date,2023-01-16 00:00:00
"EPS (TTM, GAAP)",17.79
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.32
Last (size),600.0
Last (time),4:10p ET 11/28/22
Last Trade,540.03
Market Cap,211.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.98
Prev Close,551.25
Shares Outstanding,392.2M
Short Interest,0.0076
Today's Open,543.3
Volume,1822591.0
Volume 10-day Avg,1326249.0
Volume Past Day,(Heavy Day)
