,HON
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.09571788413098226
Growth 1yr High Est,0.08641975308641991
Growth 1yr Consensus Est,0.09106881860870109
Growth 2yr Low Est,0.053606068502272786
Growth 2yr High Est,0.15173260381593723
Growth 2yr Consensus Est,0.102669336159105
Growth 5yr Low Est,0.026423845538614377
Growth 5yr High Est,0.07935801317281649
Growth 5yr Consensus Est,0.05289092935571543
Growth 5yr Actual/Est,0.036738115651249265
Growth 3yr Historic,0.0013273267053300064
