,HON
% Below High,0.0083
% Held by Institutions,0.7201000000000001
52-Wk Range,['166.63 - 221.89']
Annual Dividend $,4.12
Annual Dividend %,0.0187
Ask,220.15
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,218.6
Bid Size,100.0
Closing Price,220.05
Day Change $,1.14
Day Change %,0.0052
Day High,220.96
Day Low,217.74
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",7.82
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.251
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,147.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.15
Prev Close,218.91
Shares Outstanding,672.3M
Short Interest,0.0097
Today's Open,217.74
Volume,1119900.0
Volume 10-day Avg,2800374.0
Volume Past Day,(Light)
