,HON
Price/Earnings (TTM),28.14705
Price/Sales (TTM),4.23461
Price/Book (MRQ),8.35487
Price/Cash Flow (TTM),22.47372
5yr Low,101.08
5yr High,236.86
5yr Avg Return,0.07618333333333333
EPS Growth 5yr,0.049766899999999996
Revenue Growth 5yr,-0.026337199999999998
Dividend Growth 5yr,0.0900215
Short Int Current Month,6534952.0
Short Int Prev Month,5479340.0
Short Int Pct of Float,0.0097322
Days to Cover,1.80027
Float,671.5412
Shares Outstanding,672.3222
Institutions Holding Shares,2630.0
% Held by Institutions,0.720111
FCF Growth 5yr,-0.4658486090561211
