,RXDX
Price/Earnings (TTM),
Price/Sales (TTM),260.8198
Price/Book (MRQ),8.04924
Price/Cash Flow (TTM),
5yr Low,16.11
5yr High,63.13
5yr Avg Return,0.3558
Short Int Current Month,4890149.0
Short Int Prev Month,4510525.0
Short Int Pct of Float,0.15546010000000002
Days to Cover,8.96837
Float,32.92449
Shares Outstanding,41.94225
Institutions Holding Shares,203.0
% Held by Institutions,0.790569
FCF Growth 5yr,0.28509756381859974
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
