,RXDX
% Below High,0.2962
% Held by Institutions,0.7906
52-Wk Range,['21.50 - 63.13']
Annual Dividend $,
Annual Dividend %,
Ask,44.43
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,44.34
Bid Size,200.0
Day Change $,-0.3
Day Change %,-0.0067
Day High,44.65
Day Low,43.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.35
Ex-dividend Date,No dividend
Historical Volatility,0.7220000000000001
Last (size),100.0
Last (time),1:24p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,44.73
Price,44.43
Shares Outstanding,41.9M
Short Interest,0.1555
Today's Open,44.5
Volume Past Day,(Below Average)
