,STKL
% Below High,0.1945
% Held by Institutions,0.7591
52-Wk Range,['4.22 - 11.67']
Annual Dividend $,
Annual Dividend %,
Ask,9.41
Ask Size,1500.0
B/A Ratio,0.2
B/A Size,300x1500
Beta,1.5
Bid,9.4
Bid Size,300.0
Day Change $,-0.64
Day Change %,-0.0637
Day High,10.09
Day Low,9.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.13
Ex-dividend Date,No dividend
Historical Volatility,0.674
Last (size),117.0
Last (time),3:30p ET 11/28/22
Market Cap,1.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,10.04
Price,9.4
Shares Outstanding,107.9M
Short Interest,0.0556
Today's Open,9.92
Volume Past Day,(Light)
