,STKL
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,0.5999999999999999
Growth 1yr Consensus Est,0.29999999999999993
Growth 2yr Low Est,1.0
Growth 2yr High Est,0.9249999999999999
Growth 2yr Consensus Est,0.9624999999999999
Growth 5yr Low Est,-0.23750000000000004
Growth 5yr High Est,0.5743421052631579
Growth 5yr Consensus Est,0.16842105263157894
Growth 5yr Actual/Est,0.5567567567567567
Growth 3yr Historic,-0.7432432432432432
