,TTWO
Price/Earnings (TTM),
Price/Sales (TTM),3.97844
Price/Book (MRQ),1.82228
Price/Cash Flow (TTM),29.94738
5yr Low,84.41
5yr High,214.91
5yr Avg Return,0.03581666666666667
EPS Growth 5yr,0.3799279
Revenue Growth 5yr,0.1451462
Dividend Growth 5yr,
Short Int Current Month,4468417.0
Short Int Prev Month,4918563.0
Short Int Pct of Float,0.02711
Days to Cover,1.00831
Float,164.8499
Shares Outstanding,167.8191
Institutions Holding Shares,1059.0
% Held by Institutions,0.905398
FCF Growth 5yr,-0.7723484084645609
