,TTWO
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.19730941704035876
Growth 1yr High Est,-0.1869158878504673
Growth 1yr Consensus Est,-0.19211265244541303
Growth 2yr Low Est,-0.023235714106771554
Growth 2yr High Est,0.3145880330862607
Growth 2yr Consensus Est,0.14567615948974458
Growth 5yr Low Est,-0.023235714106771554
Growth 5yr High Est,0.3145880330862607
Growth 5yr Consensus Est,0.14567615948974458
Growth 5yr Actual/Est,0.08798628610657644
Growth 3yr Historic,0.0014597664373699748
