,KNTE
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.39781
Price/Cash Flow (TTM),
5yr Low,5.75
5yr High,48.75
5yr Avg Return,-0.37089999999999995
Short Int Current Month,3303880.0
Short Int Prev Month,3527346.0
Short Int Pct of Float,0.0998212
Days to Cover,29.87395
Float,43.9363
Shares Outstanding,44.16468
Institutions Holding Shares,119.0
% Held by Institutions,0.9842770000000001
FCF Growth 5yr,0.2678138545329591
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
