,KNTE
% Above Low,0.36700000000000005
% Held by Institutions,0.9843000000000001
52-Wk Range,['5.75 - 21.68']
Annual Dividend $,
Annual Dividend %,
Ask,7.94
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,6.9
Bid Size,400.0
Closing Price,7.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.52
Ex-dividend Date,No dividend
Historical Volatility,0.924
Last (size),14.0
Last (time),1:00p ET 11/25/22
Market Cap,347.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.86
Shares Outstanding,44.2M
Short Interest,0.0998
Today's Open,
Volume,28645.0
Volume 10-day Avg,136018.0
Volume Past Day,(Light)
