,RPM
% Below High,0.0171
% Held by Institutions,0.825
52-Wk Range,['74.56 - 104.00']
Annual Dividend $,1.68
Annual Dividend %,0.016200000000000003
Ask,102.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,102.19
Bid Size,100.0
Day Change $,-1.49
Day Change %,-0.0143
Day High,103.87
Day Low,102.13
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.06
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.28800000000000003
Last (size),163.0
Last (time),1:14p ET 11/28/22
Market Cap,13.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.53
Prev Close,103.71
Price,102.23
Shares Outstanding,129.1M
Short Interest,0.0155
Today's Open,102.9
Volume Past Day,(Light)
