,RPM
Price/Earnings (TTM),25.52736
Price/Sales (TTM),1.91553
Price/Book (MRQ),6.70765
Price/Cash Flow (TTM),19.67513
5yr Low,42.85
5yr High,104.0
5yr Avg Return,0.12201666666666666
EPS Growth 5yr,0.22679970000000002
Revenue Growth 5yr,0.0623087
Dividend Growth 5yr,0.0628827
Short Int Current Month,1978735.0
Short Int Prev Month,2420051.0
Short Int Pct of Float,0.0155385
Days to Cover,3.56018
Float,127.4987
Shares Outstanding,129.0989
Institutions Holding Shares,732.0
% Held by Institutions,0.8250329999999999
FCF Growth 5yr,-4.818715820733073
