,RPM
Next Earnings Announcement,2023-01-04 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.14560439560439553
Growth 1yr High Est,0.1200923787528867
Growth 1yr Consensus Est,0.13284838717864111
Growth 2yr Low Est,0.15193888844967984
Growth 2yr High Est,0.1188090759743815
Growth 2yr Consensus Est,0.13537398221203067
Growth 5yr Low Est,0.15756978654405257
Growth 5yr High Est,0.16456620603886413
Growth 5yr Consensus Est,0.16106799629145835
Growth 5yr Actual/Est,0.15376090828995376
Growth 3yr Historic,0.05871413806063647
