,CDXS
Price/Earnings (TTM),
Price/Sales (TTM),2.67763
Price/Book (MRQ),2.30302
Price/Cash Flow (TTM),
5yr Low,4.81
5yr High,42.01
5yr Avg Return,0.20569999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.1648884
Dividend Growth 5yr,
Short Int Current Month,5013595.0
Short Int Prev Month,5138271.0
Short Int Pct of Float,0.0782815
Days to Cover,6.91255
Float,64.00596
Shares Outstanding,65.68701
Institutions Holding Shares,228.0
% Held by Institutions,0.913055
FCF Growth 5yr,-0.35690454304313207
