,CRC
% Below High,0.10099999999999999
% Held by Institutions,1.0067
52-Wk Range,['35.95 - 51.46']
Annual Dividend $,1.13
Annual Dividend %,0.024399999999999998
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,37.06
Bid Size,
Closing Price,46.26
Day Change $,1.68
Day Change %,0.0377
Day High,47.33
Day Low,45.3
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",14.24
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.47700000000000004
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",3.25
Prev Close,44.58
Shares Outstanding,73.5M
Short Interest,0.0519
Today's Open,45.31
Volume,322247.0
Volume 10-day Avg,590411.0
Volume Past Day,(Light)
